##NAMES=Gold
##RRUFFID=R070279
##IDEAL CHEMISTRY=Au
##LOCALITY=Agua Fria Canyon Mine, Mariposa County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gold yellow thin nugget
##DIFFRACTION SAMPLE DESCRIPTION=Hammered into thin foil
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070279
##MEASURED CHEMISTRY=(Au_0.985_Ag_0.010_Cu_0.005_)_Σ=1_
##CELL PARAMETERS=a: 4.0792(2) b: 4.0792(2) c: 4.0792(2) alpha: 90 beta: 90 gamma: 90 volume: 67.879(9) crystal system: cubic
5.000000, 0.0000000E+00
5.010000, 3.675148
5.020000, 4.273746
5.030000, 6.639019
5.040000, 0.2071900
5.050000, 12.66189
5.060000, 3.584492
5.070000, 3.589859
5.080000, 12.58162
5.090000, 8.593103
5.100000, 19.61357
5.110000, 24.71249
5.120000, 21.79566
5.130000, 7.926121
5.140000, 5.003321
5.150000, 12.15274
5.160000, 7.277433
5.170000, 9.381823
5.180000, 18.47069
5.190000, 10.54637
5.200000, 21.61389
5.210000, 18.52360
5.220000, 11.53544
5.230000, 20.55866
5.240000, 13.56757
5.250000, 12.60949
5.260000, 4.667812
5.270000, 14.68563
5.280000, 5.698578
5.290000, 18.20663
5.300000, 8.167934
5.310000, 11.12346
5.320000, 13.07921
5.330000, 20.03520
5.340000, 10.99969
5.350000, 16.97392
5.360000, 16.94479
5.370000, 21.91475
5.380000, 8.884045
5.390000, 22.91775
5.400000, 10.88438
5.410000, 2.850988
5.420000, 1.158684
5.430000, 21.80706
5.440000, 9.783930
5.450000, 12.74990
5.460000, 5.737904
5.470000, 7.714546
5.480000, 12.89672
5.490000, 4.890129
5.500000, 23.88194
5.510000, 3.843391
5.520000, 19.03279
5.530000, 12.21742
5.540000, 16.17106
5.550000, 13.12677
5.560000, 8.084373
5.570000, 4.958153
5.580000, 8.000359
5.590000, 12.95840
5.600000, 5.916828
5.610000, 12.87676
5.620000, 16.83647
5.630000, 9.795998
5.640000, 13.77866
5.650000, 7.738760
5.660000, 14.69952
5.670000, 6.664650
5.680000, 9.196712
5.690000, 6.154261
5.700000, 20.11226
5.710000, 12.07061
5.720000, 7.029259
5.730000, 13.98816
5.740000, 14.94957
5.750000, 8.912951
5.760000, 16.87665
5.770000, 22.84032
5.780000, 1.803925
5.790000, 21.76749
5.800000, 17.73100
5.810000, 10.71100
5.820000, 19.67231
5.830000, 3.633600
